class,rank,status,bib,country,name,time_seconds,confidence,source_file
W16,1,OK,,POL,Angelika MacIejewska,696,high,2012/eyoc2012.htm
W16,2,OK,,SUI,Paula Gross,698,high,2012/eyoc2012.htm
W16,3,OK,,UKR,Olena Postelniak,711,high,2012/eyoc2012.htm
W16,3,OK,,RUS,Marina Trubkina,711,high,2012/eyoc2012.htm
W16,3,OK,,GER,Hanna Müller,711,high,2012/eyoc2012.htm
W16,6,OK,,BEL,Elke Verdeyen,723,high,2012/eyoc2012.htm
W16,7,OK,,DEN,Nikoline Tillingsre,725,high,2012/eyoc2012.htm
W16,8,OK,,CZE,Petra Hancová,728,high,2012/eyoc2012.htm
W16,9,OK,,GER,Léonore Winkler,739,high,2012/eyoc2012.htm
W16,10,OK,,SUI,Sofie Bachmann,740,high,2012/eyoc2012.htm
W16,11,OK,,SUI,Sonja Borner,741,high,2012/eyoc2012.htm
W16,12,OK,,GBR,Julie Emmerson,744,high,2012/eyoc2012.htm
W16,12,OK,,SUI,Barbara Köhle,744,high,2012/eyoc2012.htm
W16,14,OK,,DEN,Josefine Lind,750,high,2012/eyoc2012.htm
W16,15,OK,,CZE,Anna Sticková,756,high,2012/eyoc2012.htm
W16,15,OK,,DEN,Amanda Falck Weber,756,high,2012/eyoc2012.htm
W16,17,OK,,DEN,Astrid Maag,758,high,2012/eyoc2012.htm
W16,18,OK,,UKR,Lesya Polishchuk,764,high,2012/eyoc2012.htm
W16,19,OK,,POL,Weronika Cych,766,high,2012/eyoc2012.htm
W16,19,OK,,UKR,Daria Moskalenko,766,high,2012/eyoc2012.htm
W16,21,OK,,FRA,Mathlide Body,770,high,2012/eyoc2012.htm
W16,21,OK,,ESP,Maria Illa Cams,770,high,2012/eyoc2012.htm
W16,23,OK,,AUT,Anika Gassner,781,high,2012/eyoc2012.htm
W16,24,OK,,RUS,Anna Dvorianskaia,783,high,2012/eyoc2012.htm
W16,25,OK,,FRA,Solcne Droin,788,high,2012/eyoc2012.htm
W16,26,OK,,AUT,Carina Polzer,791,high,2012/eyoc2012.htm
W16,27,OK,,GER,Dorothea Müller,792,high,2012/eyoc2012.htm
W16,28,OK,,RUS,Anna Yakimenko,801,high,2012/eyoc2012.htm
W16,29,OK,,CZE,Zuzana Kozinova,803,high,2012/eyoc2012.htm
W16,29,OK,,IRL,Roisin Long,803,high,2012/eyoc2012.htm
W16,29,OK,,FRA,Chloé Haberkorn,803,high,2012/eyoc2012.htm
W16,32,OK,,EST,Silvia Luup,806,high,2012/eyoc2012.htm
W16,33,OK,,CZE,Tereza Nováková,811,high,2012/eyoc2012.htm
W16,33,OK,,HUN,Csenge Viniczzai,811,high,2012/eyoc2012.htm
W16,35,OK,,ITA,Martina Palumbo,817,high,2012/eyoc2012.htm
W16,35,OK,,LTU,Jogvile Susinskaite,817,high,2012/eyoc2012.htm
W16,37,OK,,BEL,Coline Ceulemans,819,high,2012/eyoc2012.htm
W16,38,OK,,LTU,Viktorija Gedgaudaite,821,high,2012/eyoc2012.htm
W16,39,OK,,LAT,Madara Brice,828,high,2012/eyoc2012.htm
W16,40,OK,,POL,Zuzanna Wanczyk,834,high,2012/eyoc2012.htm
W16,40,OK,,LTU,Anele Kerpauskaite,834,high,2012/eyoc2012.htm
W16,42,OK,,BLR,Anastasiya Ilkevich,835,high,2012/eyoc2012.htm
W16,43,OK,,HUN,Eszter Liszka,845,high,2012/eyoc2012.htm
W16,44,OK,,ESP,Elena Botica Artalejo,850,high,2012/eyoc2012.htm
W16,45,OK,,LAT,Diana-Marta Ruka,860,high,2012/eyoc2012.htm
W16,46,OK,,BUL,Yveta Zasheva,861,high,2012/eyoc2012.htm
W16,46,OK,,ESP,Andrea Guillen Escriba,861,high,2012/eyoc2012.htm
W16,48,OK,,ESP,Sofia Berenguer Sanchi,863,high,2012/eyoc2012.htm
W16,49,OK,,ITA,Gaia Sebastiani,864,high,2012/eyoc2012.htm
W16,50,OK,,HUN,Virag Weiler,868,high,2012/eyoc2012.htm
W16,51,OK,,LAT,Annija Zalaiskalna,875,high,2012/eyoc2012.htm
W16,52,OK,,ITA,Francesca Taufer,876,high,2012/eyoc2012.htm
W16,53,OK,,AUT,Isabel Schaffer,877,high,2012/eyoc2012.htm
W16,54,OK,,IRL,Aoife McCavana,881,high,2012/eyoc2012.htm
W16,55,OK,,EST,Marianne Haug,897,high,2012/eyoc2012.htm
W16,56,OK,,POR,Daniela Pires,900,high,2012/eyoc2012.htm
W16,56,OK,,UKR,Tetyana Androsova,900,high,2012/eyoc2012.htm
W16,58,OK,,LAT,Laura Leiboma,920,high,2012/eyoc2012.htm
W16,59,OK,,POR,Joana Fernandes,931,high,2012/eyoc2012.htm
