class,rank,status,bib,country,name,time_seconds,confidence,source_file
M16,1,OK,157,FRA,Guilhem Elias,2836,high,2015/results-lf.pdf
M16,2,OK,143,SUI,Chamuel Zbinden,2874,high,2015/results-lf.pdf
M16,3,OK,175,FRA,Pierre Erbland,2905,high,2015/results-lf.pdf
M16,4,OK,149,HUN,Mihaly Ormay,2906,high,2015/results-lf.pdf
M16,5,OK,173,POL,Kacper Kuca,2918,high,2015/results-lf.pdf
M16,6,OK,183,CZE,Tomas Krivda,2930,high,2015/results-lf.pdf
M16,7,OK,171,AUT,Georg Groell,2990,high,2015/results-lf.pdf
M16,8,OK,155,CZE,Ondrej Hlavac,3005,high,2015/results-lf.pdf
M16,9,OK,172,LTU,Pranas Germanavicius,3037,high,2015/results-lf.pdf
M16,10,OK,140,CZE,Jonas Fencl,3043,high,2015/results-lf.pdf
M16,11,OK,187,RUS,Sergei Mizonov,3060,high,2015/results-lf.pdf
M16,12,OK,190,SUI,Siro Corsi,3074,high,2015/results-lf.pdf
M16,13,OK,162,AUT,Clemens Wolfram,3107,high,2015/results-lf.pdf
M16,14,OK,186,FIN,Aaro Aho,3187,high,2015/results-lf.pdf
M16,15,OK,106,SUI,Tino Polsini,3192,high,2015/results-lf.pdf
M16,16,OK,107,RUS,Igor Linkevich,3211,high,2015/results-lf.pdf
M16,17,OK,189,LAT,Ilgvars Caune,3219,high,2015/results-lf.pdf
M16,18,OK,134,RUS,Anton Lukashevich,3263,high,2015/results-lf.pdf
M16,19,OK,121,FRA,Guilhem Haberkorn,3264,high,2015/results-lf.pdf
M16,20,OK,130,HUN,Ferenc Jonas,3275,high,2015/results-lf.pdf
M16,21,OK,185,SVK,Jakub Dekret,3301,high,2015/results-lf.pdf
M16,22,OK,176,HUN,Barnabas Kovacs,3316,high,2015/results-lf.pdf
M16,23,OK,116,UKR,Nikita Anopko,3333,high,2015/results-lf.pdf
M16,24,OK,141,EST,Kaarel Vesilind,3341,high,2015/results-lf.pdf
M16,25,OK,142,LTU,Romas Bazelis,3357,high,2015/results-lf.pdf
M16,26,OK,108,HUN,Csongor Horvath,3363,high,2015/results-lf.pdf
M16,27,OK,111,CZE,Michal Boranek,3378,high,2015/results-lf.pdf
M16,28,OK,161,LAT,Fricis Spektors,3383,high,2015/results-lf.pdf
M16,29,OK,168,SUI,Nicola Mueller,3385,high,2015/results-lf.pdf
M16,30,OK,188,GER,Franz Gawlitza,3468,high,2015/results-lf.pdf
M16,31,OK,159,BUL,Valentin Neykov,3472,high,2015/results-lf.pdf
M16,32,OK,102,DEN,Malte Kjaer Hemmingsen,3499,high,2015/results-lf.pdf
M16,33,OK,123,ROU,Attila Szocs,3555,high,2015/results-lf.pdf
M16,34,OK,151,ROU,Peter Knobloch-Esztergar,3565,high,2015/results-lf.pdf
M16,35,OK,158,SVK,Medard Feder,3602,high,2015/results-lf.pdf
M16,36,OK,133,ESP,Jorge Caranca Valente B,3609,high,2015/results-lf.pdf
M16,37,OK,180,TUR,Samet Kossek,3614,high,2015/results-lf.pdf
M16,38,OK,113,FRA,Maxime Roche,3616,high,2015/results-lf.pdf
M16,39,OK,110,LAT,Renars Kokorevics,3661,high,2015/results-lf.pdf
M16,40,OK,182,ESP,Raul Sanjuan Juan,3669,high,2015/results-lf.pdf
M16,41,OK,174,UKR,Dmytro Kutsan,3675,high,2015/results-lf.pdf
M16,42,OK,148,GER,Henning Kapischke,3688,high,2015/results-lf.pdf
M16,43,OK,181,DEN,Lasse August Helweg,3787,high,2015/results-lf.pdf
M16,44,OK,125,DEN,Rasmus Krogh Madsen,3804,high,2015/results-lf.pdf
M16,45,OK,147,RUS,Grigory Sokolov,3807,high,2015/results-lf.pdf
M16,46,OK,156,POL,Michal Krzysztynski,3831,high,2015/results-lf.pdf
M16,47,OK,129,POL,Michal Pierzchala,3867,high,2015/results-lf.pdf
M16,48,OK,118,EST,Alex Treier,3917,high,2015/results-lf.pdf
M16,49,OK,124,UKR,Yurii Serdiuk,3921,high,2015/results-lf.pdf
M16,50,OK,146,SLO,Zan Ravnikar,3931,high,2015/results-lf.pdf
M16,51,OK,138,GER,Riccardo Casanova,3953,high,2015/results-lf.pdf
M16,52,OK,101,BUL,Martin Manov,3958,high,2015/results-lf.pdf
M16,53,OK,152,LTU,Algirdas Dauksys,3974,high,2015/results-lf.pdf
M16,54,OK,177,ROU,Alexandru Biro,3976,high,2015/results-lf.pdf
M16,55,OK,103,SVK,Andrej Dubovsky,3982,high,2015/results-lf.pdf
M16,56,OK,119,SLO,Matic Blaz,3989,high,2015/results-lf.pdf
M16,57,OK,132,AUT,Jannis Bonek,4003,high,2015/results-lf.pdf
M16,58,OK,126,LAT,Kristaps Bruners,4024,high,2015/results-lf.pdf
M16,59,OK,117,LTU,Emilis Kaklauskas,4038,high,2015/results-lf.pdf
