class,rank,status,country,team,total_time_seconds,leg1_name,leg1_time_seconds,leg2_name,leg2_time_seconds,leg3_name,leg3_time_seconds,confidence,source_file
M16,1,OK,CZE,Czechia 1,4866,Vladimir Srb,1590,Prokop Tomasek,1711,Erik Heczko,1565,high,2023/results-relay.pdf
M16,2,OK,SUI,Switzerland 1,5089,Lavio Mueller,1590,Andrin Meier,1882,Andri Gujan,1617,high,2023/results-relay.pdf
M16,3,OK,POL,Poland 1,5303,Stanislaw Drapella,1749,Filip Wodzicki,1795,Tomasz Rzenca,1759,high,2023/results-relay.pdf
M16,4,OK,HUN,Hungary 1,5358,Mark Levente Bujdoso,1782,Gergely Bonifert,1894,Mihaly Csoboth,1682,high,2023/results-relay.pdf
M16,5,OK,ESP,Spain 1,5442,Joan Montes,1856,Cesc Amat Font,1822,Aratz Beobide,1764,high,2023/results-relay.pdf
M16,6,OK,SVK,Slovakia 1,5477,Matej Balogh,1764,Michal Dolny,1860,Daniel Smelik,1853,high,2023/results-relay.pdf
M16,7,OK,GBR,Great Britain 1,5478,Tommy Rollins,1856,Laurence Ward,1934,Robert Finn Selmer Duguid,1688,high,2023/results-relay.pdf
M16,8,OK,LAT,Latvia 1,5595,Lukass Silins,1909,Rudolfs Graudins,1884,Renars Grasis,1802,high,2023/results-relay.pdf
M16,9,OK,DEN,Denmark 1,5645,Axel Oernhagen Joergensen,1929,Asbjoern Faber Fenger Groen,1755,Niels Jokumsen,1961,high,2023/results-relay.pdf
M16,10,OK,EST,Estonia 1,5685,Villem Piirimae,1876,Karel Jung,1926,Partel Kulvik,1883,high,2023/results-relay.pdf
M16,11,OK,LTU,Lithuania 1,5949,Vitas Subatkis,2141,Tijus Jokubauskis,1936,Domas Juknevicius,1872,high,2023/results-relay.pdf
M16,12,OK,BEL,Belgium 1,5951,Oscar Bourgeois,1857,Bob de Cleene,1967,Regis Vanschuytbroeck,2127,high,2023/results-relay.pdf
M16,13,OK,BUL,Bulgaria 1,5991,Dani Nikolov,1928,Bogdan Evgeniev,2163,Svetlozar Kolev,1900,high,2023/results-relay.pdf
M16,14,OK,UKR,Ukraine 1,5992,Oleksii Shyp,1829,Volodymyr Horashko,2308,Artem Zhukovskyi,1855,high,2023/results-relay.pdf
M16,15,OK,CRO,Croatia 1,6367,Teo Mahovic,1964,Gabrijel Solenicki,2175,Luka Gojmerac,2228,high,2023/results-relay.pdf
M16,16,OK,ISR,Israel 1,6751,Shahar Yogev,1960,Yuval Kalkstein,2121,Ronen Shuv,2670,high,2023/results-relay.pdf
M16,17,OK,ROU,Romania 1,7273,Radu Ilin,2628,Benjamin Simon,2406,Vlad Percec,2239,high,2023/results-relay.pdf
M16,18,OK,AUT,Austria 1,7504,Oliver Schnepf,2947,Maximilian Nindl,2500,Niklas Ochenbauer,2057,high,2023/results-relay.pdf
