IOF ID;First Name;Last Name;Country;WRS Position;WRS points;WRS events;Avg point;Region Pos
23855;Kasper;Harlem Fosser;NOR;1;6773;5;1354.6;
11767;Miika;Kirmula;FIN;2;6673;5;1334.6;
16905;Emil;Svensk;SWE;3;6640;5;1328.0;
15387;Martin;Regborn;SWE;4;6634;5;1326.8;
12305;Matthias;Kyburz;SUI;5;6632;5;1326.4;
33940;Viktor;Svensk;SWE;6;6630;5;1326.0;
32770;Eirik Langedal;Breivik;NOR;7;6608;5;1321.6;
7466;Max Peter;Bejmer;SWE;8;6593;5;1318.6;
7562;Gustav;Bergman;SWE;9;6585;5;1317.0;
32449;Fabian;Aebersold;SUI;10;6584;5;1316.8;
10851;Martin;Hubmann;SUI;11;6580;5;1316.0;
10849;Daniel;Hubmann;SUI;12;6577;5;1315.4;
27350;Lukas;Liland;NOR;13;6575;5;1315.0;
19797;Eetu;Savolainen;FIN;14;6567;5;1313.4;
23784;Jannis;Bonek;AUT;15;6566;5;1313.2;
20161;Anton;Johansson;SWE;16;6562;5;1312.4;
15472;Albin;Ridefelt;SWE;17;6560;5;1312.0;
24217;Akseli;Ruohola;FIN;18;6539;5;1307.8;
28597;Tomas;Krivda;CZE;19;6537;5;1307.4;
9910;Ruslan;Glibov;UKR;20;6534;5;1306.8;
18893;Jonas;Holer;SUI;21;6503;5;1300.6;
31908;Isak;Jonsson;NOR;22;6493;5;1298.6;
23033;Joey;Hadorn;SUI;23;6480;5;1296.0;
22868;Mathieu;Perrin;FRA;24;6475;5;1295.0;
22867;Simon;Imark;SWE;25;6470;5;1294.0;
7403;Lucas;Basset;FRA;26;6460;5;1292.0;
19846;Olli;Ojanaho;FIN;26;6460;5;1292.0;
32613;Quentin;Moulet;FRA;28;6456;5;1291.2;
16283;Timo;Sild;EST;29;6447;5;1289.4;
23859;Jorgen;Baklid;NOR;30;6440;5;1288.0;
16281;Lauri;Sild;EST;31;6436;5;1287.2;
28425;Teemu;Oksanen;FIN;32;6434;5;1286.8;
24285;Aaro;Aho;FIN;33;6421;5;1284.2;
28434;Touko;Seppa;FIN;34;6420;5;1284.0;
20164;Simon;Hector;SWE;35;6418;5;1283.6;
15525;Tim;Robertson;NZL;36;6415;5;1283.0;
11757;Eskil;Kinneberg;NOR;37;6414;5;1282.8;
24296;Topi;Syrjalainen;FIN;38;6405;5;1281.0;
28365;Tino;Polsini;SUI;39;6402;5;1280.4;
18900;Riccardo;Rancan;SUI;39;6402;5;1280.4;
25727;Sander;Arntzen;NOR;41;6399;5;1279.8;
18032;Vegard Jarvis;Westergard;CAN;42;6397;5;1279.4;
34068;Ferenc;Jonas;HUN;43;6393;5;1278.6;
33894;Quentin;Andrieux;FRA;44;6381;5;1276.2;
23025;Tuomas;Heikkila;FIN;45;6367;5;1273.4;
20696;Loic;Marty;FRA;45;6367;5;1273.4;
14406;Michal;Olejnik;POL;45;6367;5;1273.4;
34104;Jurgen;Joonas;EST;48;6350;5;1270.0;
33052;Havard Sandstad;Eidsmo;NOR;49;6347;5;1269.4;
