IOF ID;First Name;Last Name;Country;WRS Position;WRS points;WRS events;Avg point;Region Pos
65;Tove;Alexandersson;SWE;1;6709;5;1341.8;
23032;Simona;Aebersold;SUI;2;6676;5;1335.2;
396;Andrine;Benjaminsen;NOR;3;6600;5;1320.0;
6259;Natalia;Gemperle;SUI;4;6574;5;1314.8;
22905;Sanna;Fast;SWE;5;6561;5;1312.2;
37614;Hanna;Lundberg;SWE;6;6538;5;1307.6;
4150;Venla;Harju;FIN;7;6532;5;1306.4;
4291;Marie;Olaussen;NOR;8;6502;5;1300.4;
2672;Evely;Kaasiku;EST;9;6468;5;1293.6;
1997;Sara;Hagstrom;SWE;10;6455;5;1291.0;
28437;Ida;Haapala;FIN;11;6436;5;1287.2;
33897;Cecile;Calandry;FRA;12;6409;5;1281.8;
28127;Tereza;Rauturier;CZE;13;6399;5;1279.8;
21094;Johanna;Ridefelt;SWE;13;6399;5;1279.8;
3095;Agnes;Noergaard Kracht;DEN;15;6397;5;1279.4;
5868;Marika;Teini;FIN;16;6391;5;1278.2;
24934;Tereza;Smelikova;SVK;17;6385;5;1277.0;
19685;Aleksandra;Hornik;POL;17;6385;5;1277.0;
25248;Ingrid;Lundanes;NOR;19;6378;5;1275.6;
36181;Malin;Agervig Kristiansson;DEN;20;6375;5;1275.0;
40246;Pia Young;Vik;NOR;21;6365;5;1273.0;
18906;Paula;Gross;SUI;22;6358;5;1271.6;
4290;Kamilla;Steiwer;NOR;23;6357;5;1271.4;
27559;Grace;Molloy;GBR;24;6351;5;1270.2;
23852;Victoria;Haestad Bjornstad;NOR;25;6350;5;1270.0;
844;Megan;Mitchell;GBR;26;6349;5;1269.8;
26755;Ane;Dyrkorn;NOR;27;6345;5;1269.0;
3061;Denisa;Kralova;CZE;27;6345;5;1269.0;
5370;Maija;Sianoja;FIN;29;6343;5;1268.6;
4161;Miia;Niittynen;FIN;30;6340;5;1268.0;
26630;Alina;Niggli;SUI;31;6335;5;1267.0;
33990;Sanna;Hotz;SUI;32;6331;5;1266.2;
33965;Alva;Sonesson;SWE;33;6319;5;1263.8;
24271;Amy;Nymalm;FIN;34;6314;5;1262.8;
6443;Hanna;Wisniewska;POL;35;6311;5;1262.2;
37660;Ines;Berger;SUI;35;6311;5;1262.2;
20204;Andrea;Svensson;SWE;37;6306;5;1261.2;
18912;Lotta;Karhola;FIN;38;6301;5;1260.2;
33553;Elza;Kuze;LAT;39;6300;5;1260.0;
28439;Elisa;Mattila;FIN;40;6296;5;1259.2;
25245;Jasmina;Gassner;AUT;41;6287;5;1257.4;
5710;Goeril;Roenning Sund;NOR;42;6286;5;1257.2;
40634;Eef;van Dongen;NED;42;6286;5;1257.2;
25980;Csilla;Gardonyi;HUN;44;6274;5;1254.8;
41313;Frida;Vikstrom;SWE;45;6270;5;1254.0;
1865;Sandra;Grosberga;LAT;46;6262;5;1252.4;
24183;Inka;Nurminen;FIN;47;6257;5;1251.4;
18907;Sofie;Bachmann;SUI;48;6256;5;1251.2;
2741;Helena;Karlsson;SWE;49;6255;5;1251.0;
5421;Annika;Simonsen;DEN;50;6251;5;1250.2;
24228;Anu;Tuomisto;FIN;51;6250;5;1250.0;
37838;Lucie;Semikova;CZE;52;6244;5;1248.8;
24311;Veera;Klemettinen;FIN;53;6242;5;1248.4;
33726;Hanne;Hilo;FIN;54;6240;5;1248.0;
4277;Karolin;Ohlsson;SWE;55;6238;5;1247.6;
37363;Milja;Vaataja;FIN;56;6224;5;1244.8;
42228;Rita;Maramarosi;HUN;56;6224;5;1244.8;
5339;Jo;Shepherd;GBR;58;6222;5;1244.4;
2665;Eva Ornhagen;Joergensen;DEN;58;6222;5;1244.4;
18908;Hanna;Mueller;GER;60;6220;5;1244.0;
34092;Jana;Peterova;CZE;61;6217;5;1243.4;
40702;Ida;Agervig Kristiansson;DEN;61;6217;5;1243.4;
27213;Venla;Taulavuori;FIN;61;6217;5;1243.4;
28768;Sabina;Aumo;FIN;64;6213;5;1242.6;
22961;Line;Cederberg;DEN;65;6212;5;1242.4;
42308;Lucie;Dittrichova;CZE;66;6208;5;1241.6;
32310;Hedvig Valbjorn;Gydesen;DEN;67;6206;5;1241.2;
34070;Viktoria;Mag;HUN;68;6199;5;1239.8;
2098;Anne Margrethe;Hausken Nordberg;NOR;68;6199;5;1239.8;
6735;Miri Thrane;Oedum;DEN;70;6196;5;1239.2;
42346;Mathea;Gloeersen;NOR;71;6195;5;1239.0;
332;Isia;Basset;FRA;72;6192;5;1238.4;
25262;Kaja Winsnes;Nordhagen;NOR;72;6192;5;1238.4;
28428;Anni;Haanpaa;FIN;74;6190;5;1238.0;
22836;Birte;Friedrichs;GER;75;6189;5;1237.8;
37471;Eeva Liina;Ojanaho;FIN;76;6187;5;1237.4;
47076;Henriette;Radzikowski;SUI;76;6187;5;1237.4;
33989;Lilly;Graber;SUI;78;6186;5;1237.2;
33019;Maiju;Oksanen;FIN;79;6185;5;1237.0;
33644;Ana Isabel;Toledo;ESP;80;6184;5;1236.8;
42191;Alma;Svennerud;SWE;81;6179;5;1235.8;
36417;Oda;Scheele;NOR;82;6177;5;1235.4;
34219;Johanna;Kaellvik Leufven;SWE;83;6172;5;1234.4;
26748;Lotte Jauhojarvi;Markussen;DEN;84;6156;5;1231.2;
33991;Siana;Senn;SUI;85;6153;5;1230.6;
113;Marianne;Andersen;NOR;86;6152;5;1230.4;
1946;Ewa;Bernaciak;POL;86;6152;5;1230.4;
23;Marion;Aebi;SUI;88;6150;5;1230.0;
40310;Kristin;Melby Jacobsen;NOR;89;6146;5;1229.2;
3583;Tone;Bergerud Lye;NOR;90;6142;5;1228.4;
43652;Seline;Sannwald;SUI;90;6142;5;1228.4;
24222;Enni;Jalava;FIN;92;6137;5;1227.4;
24214;Judita;Traubaite;LTU;93;6136;5;1227.2;
42345;Elisa Gotsch;Iversen;NOR;93;6136;5;1227.2;
33992;Corina;Hueni;SUI;95;6130;5;1226.0;
22869;Florence;Hanauer;FRA;96;6129;5;1225.8;
32593;Emma Louise;Arnesen;NOR;97;6127;5;1225.4;
33021;Siiri;Silvennoinen;FIN;98;6121;5;1224.2;
6084;Anna;Ulvensoen;NOR;99;6118;5;1223.6;
4836;Gabija;Razaityte;LTU;100;6115;5;1223.0;
2100;Sabine;Hauswirth;SUI;101;6109;5;1221.8;
34063;Boglarka;Czako;HUN;102;6108;5;1221.6;
4657;Carina;Polzer;AUT;103;6106;5;1221.2;
49680;Sara;Granstedt;SWE;103;6106;5;1221.2;
33955;Erika;Kaellvik Leufven;SWE;103;6106;5;1221.2;
37688;Hilda;Holmqvist Johansson;SWE;106;6105;5;1221.0;
37844;Hanna;Sudol;POL;107;6102;5;1220.4;
26352;Katrin;Mueller;SUI;108;6101;5;1220.2;
32921;Janne;Tjorhom Aasheim;NOR;109;6098;5;1219.6;
42063;Annick;Meister;SUI;110;6097;5;1219.4;
35348;Olivia;Nilsson;SWE;111;6095;5;1219.0;
2770;Mira;Kaskinen;FIN;112;6093;5;1218.6;
25174;Elin;Carlsson;SWE;112;6093;5;1218.6;
2876;Saila;Kinni;FIN;114;6090;5;1218.0;
42112;Lisa;Hubmann;SUI;114;6090;5;1218.0;
42131;Leonie;Mathis;SUI;116;6081;5;1216.2;
40523;Klara;Axelsson;SWE;117;6080;5;1216.0;
34159;Anna;Groell;AUT;117;6080;5;1216.0;
3602;Susen;Loesch;GER;117;6080;5;1216.0;
6734;Ida;Oebro;DEN;117;6080;5;1216.0;
34071;Dominika;Mero;HUN;121;6079;5;1215.8;
43691;Barbora;Matejkova;CZE;122;6074;5;1214.8;
28386;Signe;Sirma;LAT;123;6073;5;1214.6;
22581;Alice;Eid;SWE;124;6070;5;1214.0;
43636;Ingeborg Roll;Mosland;NOR;124;6070;5;1214.0;
44473;Alva;Bjork;SWE;126;6064;5;1212.8;
33961;Anja;Probst;SUI;127;6061;5;1212.2;
2132;Rebecka;Heinrup;SWE;128;6060;5;1212.0;
