status,country,from_name,to_name,reason,score,occurrences,sample_files,,
approve,AUT,Bonek Jannis,Jannis Bonek,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,AUT,Gassner Jasmina,Jasmina Gassner,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,AUT,Holper Leo,Leo Holper,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,AUT,Kastner Ylvi,Ylvi Kastner,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,AUT,Novak Lukas,Lukas Novak,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,AUT,Arbter Anja,Anja Arbter,iof-exact,exact,1,2010/relay.csv,,
approve,AUT,Habenicht Tobias,Tobias Habenicht,iof-exact,exact,1,2010/relay.csv,,
approve,AUT,Reiner Matthias,Matthias Reiner,iof-exact,exact,1,2010/relay.csv,,
approve,AUT,Schiel Philipp,Philipp Schiel,iof-exact,exact,1,2010/relay.csv,,
approve,BEL,Rune de Clercq,Rune De Clercq,iof-exact,exact,6,"2022/long.csv, 2022/relay.csv, 2022/sprint.csv, 2023/long.csv",,
approve,BEL,Ems de Smul,Ems De Smul,iof-exact,exact,5,"2016/long.csv, 2016/relay.csv, 2018/long.csv, 2018/relay.csv",,
approve,BEL,Michael van Baelen,Michael Van Baelen,iof-exact,exact,5,"2008/long.csv, 2008/relay.csv, 2008/sprint.csv, 2010/long.csv",,
approve,BEL,Clercq Rune de,Rune De Clercq,iof-exact,exact,3,"2021/long.csv, 2021/relay.csv, 2021/sprint.csv",,
approve,BEL,Ems Desmul,Ems De Smul,iof-exact,exact,3,"2015/long.csv, 2015/relay.csv, 2015/sprint.csv",,
approve,BEL,Mats de Smul,Mats De Smul,iof-exact,exact,3,"2022/long.csv, 2022/relay.csv, 2022/sprint.csv",,
approve,BEL,Sillien Marine,Marine Sillien,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,BEL,Thiels Liam,Liam Thiels,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,BEL,Tille de Smul,Tille De Smul,iof-exact,exact,3,"2022/long.csv, 2022/relay.csv, 2022/sprint.csv",,
approve,BEL,de Smul Ems,Ems De Smul,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,BEL,Wout Keupens,Wout Keuppens,iof-exact,exact,2,"2015/long.csv, 2015/relay.csv",,
approve,BEL,Defraigne Laurence,Laurence Defraigne,iof-exact,exact,1,2017/long.csv,,
approve,BEL,Michael Vanbaelen,Michael Van Baelen,iof-exact,exact,1,2010/relay.csv,,
approve,BUL,Boris Josifov,Boris Yosifov,iof-exact,exact,2,"2008/long.csv, 2008/sprint.csv",,
approve,BUL,Stefan Jordanov,Stefan Yordanov,iof-exact,exact,2,"2014/long.csv, 2014/sprint.csv",,
approve,BUL,Andreaya Dyaksova,Andreya Dyaksova,iof-exact,exact,1,2014/relay.csv,,
approve,BUL,Evangelin Dyaksova,Evangelina Dyaksova,iof-exact,exact,1,2016/relay.csv,,
approve,BUL,Tsveta Llieva,Tsveta Ilieva,iof-exact,exact,1,2014/relay.csv,,
approve,CZE,Jona? Hubacek,Jonas Hubacek,iof-exact,exact,2,"2010/long.csv, 2010/sprint.csv",,
approve,CZE,Matij Klusacek,Matej Klusacek,iof-exact,exact,1,2006/relay.csv,,
approve,DEN,Frida Kaerner Grooss,Frida Karner Grooss,iof-exact,exact,3,"2022/long.csv, 2022/relay.csv, 2022/sprint.csv",,
approve,DEN,Hornbaek Laura Kaldahl,Laura Kaldahl Hornbaek,iof-exact,exact,3,"2021/long.csv, 2021/relay.csv, 2021/sprint.csv",,
approve,DEN,Mikkel Srrensen,Mikkel Sorensen,iof-exact,exact,2,"2010/long.csv, 2010/sprint.csv",,
approve,DEN,Anton Werner Lohndo,Anton Werner Lohndorf,iof-exact,exact,1,2017/relay.csv,,
approve,DEN,Asbjolrn Faber Fenger Groen,Asbjoern Faber Fenger Groen,iof-exact,exact,1,2022/long.csv,,
approve,ESP,Diaz Alejandro Garrido,Alejandro Garrido Diaz,iof-exact,exact,3,"2021/long.csv, 2021/relay.csv, 2021/sprint.csv",,
approve,ESP,Font Jan Amat,Jan Amat Font,iof-exact,exact,3,"2021/long.csv, 2021/relay.csv, 2021/sprint.csv",,
approve,ESP,Garcia Castro Marina,Marina Garcia Castro,iof-exact,exact,3,"2011/long.csv, 2011/relay.csv, 2011/sprint.csv",,
approve,ESP,Guijo Alonso Marta,Marta Guijo Alonso,iof-exact,exact,3,"2011/long.csv, 2011/relay.csv, 2011/sprint.csv",,
approve,ESP,Olias Gonzalo Zorrilla,Gonzalo Zorrilla Olias,iof-exact,exact,3,"2021/long.csv, 2021/relay.csv, 2021/sprint.csv",,
approve,ESP,Patino Deniz Carmen,Carmen Patino Deniz,iof-exact,exact,3,"2011/long.csv, 2011/relay.csv, 2011/sprint.csv",,
approve,ESP,Sanjaume Guinedell Faja,Guinedell Faja Sanjaume,iof-exact,exact,3,"2021/long.csv, 2021/relay.csv, 2021/sprint.csv",,
approve,ESP,Diaz Mateo Rodriguez,Mateo Rodriguez Diaz,iof-exact,exact,2,"2021/long.csv, 2021/sprint.csv",,
approve,ESP,Gil Marcos Eduardo,Eduardo Gil Marcos,iof-exact,exact,2,"2011/long.csv, 2011/relay.csv",,
approve,ESP,Miguel Armisen Monica de,Monica de Miguel Armisen,iof-exact,exact,2,"2021/long.csv, 2021/sprint.csv",,
